unique_id;Date; Open;High;Low;Close;Adj;Close2;Volume
1;31-Oct-24;0.21;0.21;0.21;0.21;0.21;-;
1;30-Oct-24;0.216;0.216;0.216;0.216;0.216;-;
1;29-Oct-24;0.22;0.248;0.22;0.248;0.248;750;
1;28-Oct-24;0.224;0.224;0.224;0.224;0.224;-;
1;25-Oct-24;0.23;0.23;0.23;0.23;0.23;-;
1;24-Oct-24;0.232;0.232;0.232;0.232;0.232;-;
1;23-Oct-24;0.236;0.236;0.236;0.236;0.236;-;
1;22-Oct-24;0.236;0.268;0.236;0.268;0.268;1.111;
1;21-Oct-24;0.242;0.242;0.242;0.242;0.242;-;
1;18-Oct-24;0.23;0.23;0.23;0.23;0.23;-;
1;17-Oct-24;0.23;0.23;0.23;0.23;0.23;-;
1;16-Oct-24;0.23;0.23;0.23;0.23;0.23;-;
1;15-Oct-24;0.232;0.26;0.232;0.26;0.26;3.861;
1;14-Oct-24;0.232;0.232;0.232;0.232;0.232;-;
1;11-Oct-24;0.23;0.23;0.23;0.23;0.23;-;
1;10-Oct-24;0.228;0.228;0.228;0.228;0.228;-;
1;09-Oct-24;0.222;0.222;0.222;0.222;0.222;-;
1;08-Oct-24;0.236;0.266;0.236;0.266;0.266;3.338;
1;07-Oct-24;0.244;0.244;0.244;0.244;0.244;-;
1;04-Oct-24;0.24;0.24;0.24;0.24;0.24;-;
1;03-Oct-24;0.246;0.246;0.246;0.246;0.246;-;
1;02-Oct-24;0.24;0.27;0.24;0.242;0.242;2.125;
1;01-Oct-24;0.232;0.232;0.232;0.232;0.232;-;
1;30-Sep-24;0.224;0.226;0.224;0.226;0.226;4;
1;27-Sep-24;0.226;0.226;0.226;0.226;0.226;-;
1;26-Sep-24;0.222;0.222;0.222;0.222;0.222;-;
1;25-Sep-24;0.218;0.218;0.218;0.218;0.218;-;
1;24-Sep-24;0.23;0.23;0.23;0.23;0.23;-;
1;23-Sep-24;0.206;0.236;0.206;0.236;0.236;200;
1;20-Sep-24;0.206;0.206;0.206;0.206;0.206;-;
1;19-Sep-24;0.2;0.2;0.2;0.2;0.2;-;
1;18-Sep-24;0.202;0.202;0.202;0.202;0.202;-;
1;17-Sep-24;0.204;0.204;0.204;0.204;0.204;-;
1;16-Sep-24;0.2;0.23;0.2;0.23;0.23;1.87;
1;13-Sep-24;0.2;0.2;0.2;0.2;0.2;20;
1;12-Sep-24;0.202;0.202;0.202;0.202;0.202;-;
1;11-Sep-24;0.199;0.199;0.199;0.199;0.199;-;
1;10-Sep-24;0.199;0.226;0.199;0.226;0.226;10;
1;09-Sep-24;0.198;0.198;0.198;0.198;0.198;-;
1;06-Sep-24;0.204;0.204;0.204;0.204;0.204;-;
1;05-Sep-24;0.2;0.2;0.2;0.2;0.2;-;
1;04-Sep-24;0.204;0.204;0.204;0.204;0.204;-;
1;03-Sep-24;0.206;0.206;0.206;0.206;0.206;-;
1;02-Sep-24;0.212;0.212;0.212;0.212;0.212;-;
1;30-Aug-24;0.204;0.204;0.204;0.204;0.204;-;
1;29-Aug-24;0.202;0.202;0.202;0.202;0.202;-;
1;28-Aug-24;0.206;0.206;0.206;0.206;0.206;-;
1;27-Aug-24;0.204;0.206;0.204;0.206;0.206;40;
1;26-Aug-24;0.204;0.204;0.204;0.204;0.204;-;
1;23-Aug-24;0.206;0.206;0.206;0.206;0.206;-;
1;22-Aug-24;0.204;0.234;0.204;0.234;0.234;214;
1;21-Aug-24;0.212;0.212;0.212;0.212;0.212;-;
1;20-Aug-24;0.21;0.21;0.21;0.21;0.21;-;
1;19-Aug-24;0.206;0.206;0.206;0.206;0.206;-;
1;16-Aug-24;0.212;0.212;0.212;0.212;0.212;600;
1;15-Aug-24;0.204;0.204;0.204;0.204;0.204;-;
1;14-Aug-24;0.208;0.208;0.208;0.208;0.208;-;
1;13-Aug-24;0.21;0.21;0.21;0.21;0.21;-;
1;12-Aug-24;0.206;0.234;0.206;0.234;0.234;2;
1;09-Aug-24;0.197;0.197;0.197;0.197;0.197;-;
1;08-Aug-24;0.191;0.191;0.191;0.191;0.191;-;
1;07-Aug-24;0.195;0.2;0.195;0.2;0.2;2.5;
1;06-Aug-24;0.187;0.19;0.187;0.19;0.19;2.5;
1;05-Aug-24;0.19;0.19;0.19;0.19;0.19;-;
1;02-Aug-24;0.202;0.202;0.202;0.202;0.202;-;
1;01-Aug-24;0.204;0.204;0.204;0.204;0.204;-;
1;31-Jul-24;0.195;0.195;0.195;0.195;0.195;-;
1;30-Jul-24;0.194;0.222;0.194;0.222;0.222;9.3;
1;29-Jul-24;0.198;0.198;0.198;0.198;0.198;-;
1;26-Jul-24;0.197;0.197;0.197;0.197;0.197;-;
1;25-Jul-24;0.195;0.195;0.195;0.195;0.195;-;
1;24-Jul-24;0.198;0.198;0.198;0.198;0.198;-;
1;23-Jul-24;0.199;0.199;0.199;0.199;0.199;-;
1;22-Jul-24;0.2;0.2;0.2;0.2;0.2;-;
1;19-Jul-24;0.202;0.202;0.202;0.202;0.202;-;
1;18-Jul-24;0.204;0.204;0.204;0.204;0.204;1;
1;17-Jul-24;0.204;0.204;0.204;0.204;0.204;-;
1;16-Jul-24;0.202;0.228;0.202;0.228;0.228;145;
